split,metric,value,unit,provenance
full_scored,entries,68960,count,provisional_model_estimate
full_scored,mean_overall_quality,0.8726309527895844,score,provisional_model_estimate
full_scored,sd_overall_quality,0.05565922791882111,score,provisional_model_estimate
full_scored,mean_uncertainty,0.004758161322444041,score,provisional_model_estimate
full_scored,predicted_accept_rate,0.39244489559164736,fraction,provisional_model_estimate
full_scored,predicted_revise_rate,0.5107018561484918,fraction,provisional_model_estimate
full_scored,predicted_reject_rate,0.09685324825986079,fraction,provisional_model_estimate
qa_d_compressed,entries,20688,count,provisional_model_estimate
qa_d_compressed,mean_overall_quality,0.9252216776390686,score,provisional_model_estimate
qa_d_compressed,sd_overall_quality,0.021015593782135883,score,provisional_model_estimate
qa_d_compressed,mean_uncertainty,0.00445894601752976,score,provisional_model_estimate
qa_d_compressed,predicted_accept_rate,0.9422370456303171,fraction,provisional_model_estimate
qa_d_compressed,predicted_revise_rate,0.05776295436968291,fraction,provisional_model_estimate
qa_d_compressed,predicted_reject_rate,0.0,fraction,provisional_model_estimate
